tamil,transliterated,colloquial
ஆரம்பகாலப் பாடல்கள் தமிழகத்திலிருந்தே வெளிவந்தன.,ārambagālap pāḍalgaḷ thamizhagathilirundhē veḷivandhaṉa.
பொருளாதார அறிவியலின் பரிசு சுவீடனின் நோபல் பரிசு வழங்கும் விழாவிலேயே வழங்கப்படுகிறது.,poruḷādhāra aṟiviyaliṉ parisŭ chuvīḍaṉiṉ nōbal parisŭ vazhaṅgum vizhāvilēyē vazhaṅgappaḍugiṟadhu.
பெருவின் உயர்நிலப்பகுதிகளில் கி.,peruviṉ uyarnilappagudhigaḷil ki.
இதன் தலைமையகம் கார்வார் நகரத்தில் உள்ளது.,idhaṉ thalaimaiyagam kārvār nagarathil uḷḷadhu.
நிவியன் போகார்டின் தழும்புகள் குறித்து உலவும் கதைகள் அவரது நட்சத்திர பிம்பத்தை கவர்சிகரமாக ஆக்குவதற்காக பட தயாரிப்பு நிறுவனங்களால் கட்டப்பட்ட கதைகள் என்று கூறுகிறார்.,niviyaṉ pōgārḍiṉ thazhumbugaḷ kuṟithŭ ulavum kadhaigaḷ avaradhŭ naṭchathira pimbathai kavarsigaramāga ākkuvadhaṟkāga paḍa thayārippŭ niṟuvaṉaṅgaḷāl kaṭṭappaṭṭa kadhaigaḷ yeṉḏrŭ kūṟugiṟār.
பறை இசையில் பல வகை அடிகள் உண்டு.,paṟai isaiyil pala vagai aḍigaḷ uṇḍu.
தீராத கடன் தொல்லைகள் புத்திர சந்தான பாக்கியம் போன்ற மிக முக்கியமான பலன்களையும் உங்கள்  நியாயமான கோரிக்கைகளையும் தங்கு தடையின்றி நிறைவேற்றுவதில் மிக முக்கியப்பங்கு வகிப்பது  உங்கள் முன்னோர் வழிபாடுதான்.,thīrādha kaḍaṉ thollaigaḷ puthira chandhāṉa pākkiyam pōṉḏra miga mukkiyamāṉa palaṉgaḷaiyum uṅgaḷ  niyāyamāṉa kōrikkaigaḷaiyum thaṅgŭ thaḍaiyiṉḏri niṟaivēṯṟuvadhil miga mukkiyappaṅgŭ vagippadhu  uṅgaḷ muṉṉōr vazhibāḍudhāṉ.
ஆங்கிலேயர் ஆட்சி மக்கள்மீதும் அடக்குமுறைகளை ஏவிவிட்டது.,āṅgilēyar āṭchi makkaḷmīdhum aḍakkumuṟaigaḷai yēviviṭṭadhu.
உடையார்பாளையச் சிற்றரசர் கைப்பற்றியிருந்த மதுரையின் பகுதிகளையும் மீட்டார்.,uḍaiyārbāḷaiyach chiṯṟarasar kaippaṯṟiyirundha madhuraiyiṉ pagudhigaḷaiyum mīṭṭār.
"சுவாஹிலியும், ஆங்கிலமும் தான்சானியாவின் அதிகாரப்பூர்வ மொழிகளாக இருக்கின்றன.","chuvāhiliyum, āṅgilamum thāṉsāṉiyāviṉ adhigārappūrva mozhigaḷāga irukkiṉḏraṉa."
"மெதடிசத்தைப் பின்பற்றும் ஆங்கிலிக்கர்கள் ""மெதடிஸ்துகள்"" என அழைக்கப்படுகின்றனர்.","medhaḍisathaip piṉbaṯṟum āṅgilikkargaḷ ""medhaḍisdhugaḷ"" yeṉa azhaikkappaḍugiṉḏraṉar."
"இந்த நடன வடிவத்திறகான மூலங்கள், கதாக்ஸ் அல்லது கதைச்சொல்லிகள் என்றழைக்கப்படும் பழங்காலத்து வட இந்தியாவின் நாடோடிப் பாணர்களுடன் தொடர்பு கொண்டிருக்கிறது.","indha naḍaṉa vaḍivathiṟagāṉa mūlaṅgaḷ, kadhāks alladhŭ kadhaicholligaḷ yeṉḏrazhaikkappaḍum pazhaṅgālathŭ vaḍa indhiyāviṉ nāḍōḍip pāṇargaḷuḍaṉ thoḍarbŭ koṇḍirukkiṟadhu."
"இறுதியில், பெல்லா ஜேகப்புக்காக அக்கறை கொள்வதை ஏற்றுக் கொள்ளும் எட்வர்டு விக்டோரியாவை வெற்றிகரமாக அழிக்கிறான், எட்வர்டு தான் தனது வாழ்க்கையில் மிக முக்கியமான நபர் என்பதை பெல்லா ஒப்புக் கொள்கிறாள்.","iṟudhiyil, pellā jēgappukkāga akkaṟai koḷvadhai yēṯṟuk koḷḷum yeṭvarḍŭ vikṭōriyāvai veṯṟigaramāga azhikkiṟāṉ, yeṭvarḍŭ thāṉ thaṉadhŭ vāzhkkaiyil miga mukkiyamāṉa nabar yeṉbadhai pellā oppuk koḷgiṟāḷ."
சு.,chu.
அடுத்த மண்டபத்தில் உற்சவமூர்த்திகள் அமைந்துள்ளன.,aḍutha maṇḍabathil uṟchavamūrthigaḷ amaindhuḷḷaṉa.
இதில் இசை என்பது தமிழிசையாகும்.,idhil isai yeṉbadhŭ thamizhisaiyāgum.
பின்னது அமெரிக்க இயற்கை வரலாற்று அருங்காட்சியக முறையும் ஆகும்.,piṉṉadhŭ amerikka iyaṟkai varalāṯṟŭ aruṅgāṭchiyaga muṟaiyum āgum.
"விளையாட்டு ஊக்குவிப்பு, அபிவிருத்தி, அணிகள் உருவாக்கம், நிகழ்வுகள் போட்டிகள் ஒருங்கிணைப்பு, மாவட்ட தேசிய மட்ட ஒருங்கிணைப்பு ஆகியவற்றை இத்துறை நிறைவேற்றுகின்றது.","viḷaiyāṭṭŭ ūkkuvippu, abiviruthi, aṇigaḷ uruvākkam, nigazhvugaḷ pōṭṭigaḷ oruṅgiṇaippu, māvaṭṭa thēsiya maṭṭa oruṅgiṇaippŭ āgiyavaṯṟai ithuṟai niṟaivēṯṟugiṉḏradhu."
"இந்த ஆய்வுகளில் கிடைத்த தாழிகள், மட்பாண்டங்கள், இரும்பு ஆயுதங்கள், கல்லாயுதங்கள், ஆபரணங்கள், மணி வகைகள், வளையல்கள் ஆகியன புதுக்கோட்டை அருங்காட்சியகத்தில் காட்சிக்கு வைக்கப்பட்டுள்ளன.","indha āyvugaḷil kiḍaitha thāzhigaḷ, maṭpāṇḍaṅgaḷ, irumbŭ āyudhaṅgaḷ, kallāyudhaṅgaḷ, ābaraṇaṅgaḷ, maṇi vagaigaḷ, vaḷaiyalgaḷ āgiyaṉa pudhukkōṭṭai aruṅgāṭchiyagathil kāṭchikkŭ vaikkappaṭṭuḷḷaṉa."
அந்த ஆண்டில் ஜான் ஃபோர்ட் இயக்கிய ஸ்டேஜ்கோச் திரைப்படம் அவரை ஒரு நட்சத்திர நடிகராக மாற்றியது.,andha āṇḍil jāṉ ஃbōrṭ iyakkiya sḍējgōch thiraippaḍam avarai orŭ naṭchathira naḍigarāga māṯṟiyadhu.
இறந்த மக்களைப் புதைப்பது இவர்கள் வழக்கம்.,iṟandha makkaḷaip pudhaippadhŭ ivargaḷ vazhakkam.
பொருளியலில் இது ஒரு முக்கியமான கூற்றாகும்.,poruḷiyalil idhŭ orŭ mukkiyamāṉa kūṯṟāgum.
"உவேசா நல்லமுறையில் பாடலை விளக்கிவிட்டு, இறுதி அடியான “இறுமாப்புடைய நடையும் குடையும் என்னிடம் இல்லை” என்ற இவ்வடியை உணர்ச்சிகரமாகக் கூறி முடித்தார்.","uvēsā nallamuṟaiyil pāḍalai viḷakkiviṭṭu, iṟudhi aḍiyāṉa “iṟumāppuḍaiya naḍaiyum kuḍaiyum yeṉṉiḍam illai” yeṉḏra ivvaḍiyai uṇarchigaramāgak kūṟi muḍithār."
மாவீரர்களின் எண்ணிக்கைகள் இங்கு பட்டியலிடப்படுகின்றன.,māvīrargaḷiṉ yeṇṇikkaigaḷ iṅgŭ paṭṭiyaliḍappaḍugiṉḏraṉa.
"மூன்று பேரும் காரை வடிவமைக்க இரவுகளிலும் பணியாற்றினர், நிறுவனத்தின் குறிக்கோள் மற்றும் மற்ற நிறுவனங்களிலிருந்து லம்போர்கினியிடம் திரும்பும் என்ற நம்பிக்கையுடன்.","mūṉḏrŭ pērum kārai vaḍivamaikka iravugaḷilum paṇiyāṯṟiṉar, niṟuvaṉathiṉ kuṟikkōḷ maṯṟum maṯṟa niṟuvaṉaṅgaḷilirundhŭ lambōrgiṉiyiḍam thirumbum yeṉḏra nambikkaiyuḍaṉ."
"முழு எண்களாலான {Z, + , . }","muzhŭ yeṇgaḷālāṉa {Z, + , . }"
யாழ் குடா நாட்டில் உள்ள 8 தீவுகளில் (எழு தீவு என்பது தவறானது) ஒன்றாகும்.,yāzh kuḍā nāṭṭil uḷḷa 8 thīvugaḷil (yezhŭ thīvŭ yeṉbadhŭ thavaṟāṉadhu) oṉḏrāgum.
"இவ் வளரூக்கிகள் உயிரினங்களின் வேறுபட்ட, பல செயற்பாடுகளை நெறிப்படுத்துகின்றன.","iv vaḷarūkkigaḷ uyiriṉaṅgaḷiṉ vēṟubaṭṭa, pala cheyaṟpāḍugaḷai neṟippaḍuthugiṉḏraṉa."
ஆனால் அப்படி இல்லை என்று இப்பொழுது (2011 இல்) கண்டறிந்துள்ளனர்.,āṉāl appaḍi illai yeṉḏrŭ ippozhudhŭ (2011 il) kaṇḍaṟindhuḷḷaṉar.
formula_2 மணிகள் கொண்ட மணிமாலைகளைக்கணக்கிடுவோம்.,formula_2 maṇigaḷ koṇḍa maṇimālaigaḷaikkaṇakkiḍuvōm.
"நவம்பர் மாதத்தில் அதிகபட்சமாக 200,000 பறவைகள் வந்துள்ளன.","navambar mādhathil adhigabaṭchamāga 200,000 paṟavaigaḷ vandhuḷḷaṉa."
வடபகுதி கிளைக்கு கௌதமி கோதாவரி என்றும் தென்பகுதி கிளைக்கு வசிஷ்ட கோதாவரி என்றும் பெயர்.,vaḍabagudhi kiḷaikkŭ kaudhami kōdhāvari yeṉḏrum theṉbagudhi kiḷaikkŭ vasishḍa kōdhāvari yeṉḏrum peyar.
"ஜார்ஜ் கிரே (""Sir.","jārj kirē (""Sir."
"இந்த ""மாதிரி"", ஸ்குரோடிங்கர் சமன்பாட்டுக்கு ஒரு தீர்வாக, இலத்திரனை விளங்கிக் கொள்வதற்கான ஒரு எளிய முறையை வழங்குகிறது.","indha ""mādhiri"", sgurōḍiṅgar chamaṉbāṭṭukkŭ orŭ thīrvāga, ilathiraṉai viḷaṅgik koḷvadhaṟkāṉa orŭ yeḷiya muṟaiyai vazhaṅgugiṟadhu."
இதற்கு அங்க வித்தியாசங்கள் இல்லை.,idhaṟkŭ aṅga vithiyāsaṅgaḷ illai.
இப்பெயர் 180 ஆண்டுகளாக அந்நாட்டிற்கு நிலைத்திருந்தது.,ippeyar 180 āṇḍugaḷāga annāṭṭiṟkŭ nilaithirundhadhu.
"மனோ-பகுப்பாய்வுக் கோட்பாடு மற்றும் நோய் நீக்கும் கலையினை விமர்சனம் செய்தவர்கள் பி.எப்.ஸ்கின்னர், ஹான்ஸ் ஹைஸென்க் போன்ற உளவியல் ஞானிகள், தத்துவ ஞானிகள் காரல் போப்பர், ஸ்கின்னர் மற்றும் நடத்தையியலாளர்கள் ஆவர் அவர்கள் நம்பிக்கை கொண்ட கருத்தாவது, உளவியல் செயலறிவால் தெரிந்துகொள்வதை விட, மேலும் திறம்பட விளங்க, அதுவும் மனோ-பகுப்பாய்வை விட விளங்க வேண்டும் என்பதே ஆகும்.","maṉō-paguppāyvuk kōṭpāḍŭ maṯṟum nōy nīkkum kalaiyiṉai vimarsaṉam cheydhavargaḷ pi.yep.sgiṉṉar, hāṉs haiseṉk pōṉḏra uḷaviyal ñāṉigaḷ, thathuva ñāṉigaḷ kāral pōppar, sgiṉṉar maṯṟum naḍathaiyiyalāḷargaḷ āvar avargaḷ nambikkai koṇḍa karuthāvadhu, uḷaviyal cheyalaṟivāl therindhugoḷvadhai viḍa, mēlum thiṟambaḍa viḷaṅga, adhuvum maṉō-paguppāyvai viḍa viḷaṅga vēṇḍum yeṉbadhē āgum."
இந்த ஊராட்சி மன்றங்களின் உறுப்பினர்களின் பதவிக்காலம் ஐந்து ஆண்டுகளாக இருக்கிறது.,indha ūrāṭchi maṉḏraṅgaḷiṉ uṟuppiṉargaḷiṉ padhavikkālam aindhŭ āṇḍugaḷāga irukkiṟadhu.
"அங்கிருந்த 350 பிரிட்டிஷ் ஆட்களில், 100 பேர் கொல்லப் பட்டனர்.","aṅgirundha 350 piriṭṭish āṭkaḷil, 100 pēr kollap paṭṭaṉar."
இவரது 1948 ஆம் ஆண்டு ஆய்வுக் கட்டுரை எ மேத்தமடிக்கல் தியரி ஆப் கம்யூணிகேசன் (A Mathematical Theory of Communication) தொழில்நுட்ப வரலாற்றில் ஒரு திருப்பு முனையாகப் அமைந்தது.,ivaradhŭ 1948 ām āṇḍŭ āyvuk kaṭṭurai ye mēthamaḍikkal thiyari āp kamyūṇigēsaṉ (A Mathematical Theory of Communication) thozhilnuṭpa varalāṯṟil orŭ thiruppŭ muṉaiyāgap amaindhadhu.
இவ்வகை விமானத்தைத் தமிழில் தூங்கானை விமானம் என்பர்.,ivvagai vimāṉathaith thamizhil thūṅgāṉai vimāṉam yeṉbar.
இவருடைய தந்தை சாக்கரியாசு கோயட்ஸி அரசுப் பணியாளர் மற்றும் பகுதிநேர வழக்கறிஞர்.,ivaruḍaiya thandhai chākkariyāsŭ kōyaṭsi arasup paṇiyāḷar maṯṟum pagudhinēra vazhakkaṟiñar.
"எப்படியாவது மனித நலனை வளர்த்தால் போதும், வேறு ஒன்றைப் பற்றியும் கவலை வேண்டியதில்லை என்பது அவர் கருத்து.","yeppaḍiyāvadhŭ maṉidha nalaṉai vaḷarthāl pōdhum, vēṟŭ oṉḏraip paṯṟiyum kavalai vēṇḍiyadhillai yeṉbadhŭ avar karuthu."
அசோகன்) மணமகனாக்குகிறான் சம்பந்தம்.,asōgaṉ) maṇamagaṉākkugiṟāṉ chambandham.
ஷில்பா தற்போது மும்பையில் அவரது பெற்றோர் மற்றும் இளைய சகோதரியும் பாலிவுட் நடிகையுமான ஷமிதா ஷெட்டியுடன் வசித்து வருகிறார்.,shilbā thaṟpōdhŭ mumbaiyil avaradhŭ peṯṟōr maṯṟum iḷaiya chagōdhariyum pālivuṭ naḍigaiyumāṉa shamidhā sheṭṭiyuḍaṉ vasithŭ varugiṟār.
கும்பகோணம் கலைபாணியைப் பயன்படுத்துபவர்கள் கர்நாடக இசையை ஒட்டிப் பாடல்களைப் பாடுவார்கள்.,kumbagōṇam kalaibāṇiyaip payaṉbaḍuthubavargaḷ karnāḍaga isaiyai oṭṭip pāḍalgaḷaip pāḍuvārgaḷ.
சுமார் 95 செ.மீ.,chumār 95 che.mī.
மாற்கு விவரிக்கும் இயேசு கதையின் இரண்டாம் பெரும் பிரிவு 8:22இலிருந்து தொடங்கி 16:8ல் முடிகிறது.,māṟkŭ vivarikkum iyēsŭ kadhaiyiṉ iraṇḍām perum pirivŭ 8:22ilirundhŭ thoḍaṅgi 16:8l muḍigiṟadhu.
"உயிர் பெற்ற மந்திரவாதி, தற்கொலை செய்யப்போகும் சூரசேனனை அவன் அந்த சிலையை கொண்டுவந்து கொடுத்தால் இந்துவும் செல்வமும் கிடைக்கும் என்றுவாக்குத் தருகிறான்.","uyir peṯṟa mandhiravādhi, thaṟkolai cheyyappōgum chūrasēṉaṉai avaṉ andha chilaiyai koṇḍuvandhŭ koḍuthāl indhuvum chelvamum kiḍaikkum yeṉḏruvākkuth tharugiṟāṉ."
இங்கு அமைந்துள்ள புனித அந்தோனியார் திருத்தலம் மிகவும் புகழ் பெற்றது.,iṅgŭ amaindhuḷḷa puṉidha andhōṉiyār thiruthalam migavum pugazh peṯṟadhu.
பி.,pi.
தாய் பிங்கி தயாரிப்பாளர் மற்றும் இயக்குனர் ஜே.ஓம் பிரகாஷ் அவர்களின் மகளாவார்.,thāy piṅgi thayārippāḷar maṯṟum iyakkuṉar jē.ōm piragāsh avargaḷiṉ magaḷāvār.
ஆகையால் எல்-டோபாவின் நிறைவு பொருளாக இது உபயோகிக்கப்படுகிறது.,āgaiyāl yel-ṭōbāviṉ niṟaivŭ poruḷāga idhŭ ubayōgikkappaḍugiṟadhu.
"ஒரு குறிப்பிட்ட நிறையுள்ள பொருளை, அதன் சடநிலையில் இருந்து தற்போதைய வேகத்திற்குச் செலுத்தத் தேவையான வேலையே (பளு) இயக்க ஆற்றல் என்று வழங்கப் படும்.","orŭ kuṟippiṭṭa niṟaiyuḷḷa poruḷai, adhaṉ chaḍanilaiyil irundhŭ thaṟpōdhaiya vēgathiṟkuch cheluthath thēvaiyāṉa vēlaiyē (paḷu) iyakka āṯṟal yeṉḏrŭ vazhaṅgap paḍum."
புதுக்கோட்டையிலிருந்து கொடும்பாளூர் வழியாக மணப்பாறை செல்லும் பேருந்துகள் உள்ளன.,pudhukkōṭṭaiyilirundhŭ koḍumbāḷūr vazhiyāga maṇappāṟai chellum pērundhugaḷ uḷḷaṉa.
"பாலுமகேந்திரா இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் கமல்ஹாசன், ஷோபா மற்றும் பலரும் நடித்துள்ளனர்.","pālumagēndhirā iyakkathil veḷivandha ithiraippaḍathil kamalhāsaṉ, shōbā maṯṟum palarum naḍithuḷḷaṉar."
தமிழ்ப் புலவரான தனது தந்தையிடமே தமிழ் கற்றார்.,thamizhp pulavarāṉa thaṉadhŭ thandhaiyiḍamē thamizh kaṯṟār.
"""தாய்வானில் இருந்து வந்தோர்"" என்னும் கருத்தே மொழியியல் மற்றும் தொல்லியல் சான்றுகளின் அடிப்படையில் மிகவும் பரவலாக ஏற்றுக்கொள்ளப்பட்டதாகத் தெரிகின்றது.","""thāyvāṉil irundhŭ vandhōr"" yeṉṉum karuthē mozhiyiyal maṯṟum tholliyal chāṉḏrugaḷiṉ aḍippaḍaiyil migavum paravalāga yēṯṟukkoḷḷappaṭṭadhāgath therigiṉḏradhu."
"குறிப்பாக மின்பகுப்பு, மின்கலம் ஆகிவற்றுக்கு அடிப்படையான வேதிவினைகளை ""மின்வேதியியல்"" ஆய்கின்றது.","kuṟippāga miṉbaguppu, miṉgalam āgivaṯṟukkŭ aḍippaḍaiyāṉa vēdhiviṉaigaḷai ""miṉvēdhiyiyal"" āygiṉḏradhu."
"அப்பொழுது சிவயோகியார் “மனைவியின் கையைப் பிடித்து மூழ்குக"" என வற்புறுத்தினார்.","appozhudhŭ chivayōgiyār “maṉaiviyiṉ kaiyaip piḍithŭ mūzhguga"" yeṉa vaṟpuṟuthiṉār."
என்.எஃப்.எல்.,yeṉ.yeஃp.yel.
"போர்ச்சுக்கல் நாட்டிலுள்ள பால்மெலா, எசுப்பானியாவில் உள்ள இலாசு மில்லேரெசு, ஐக்கிய இராச்சியத்திலுள்ள சுடோன்யெங் போன்ற தளங்களிலும் கிமு மூன்றாம் நூற்றாண்டைச் சேர்ந்த தொடக்கக் கால உலோகங்கள் பயன்பாடு குறித்த தகவல்கள் அறியப்படுகின்றன .","pōrchukkal nāṭṭiluḷḷa pālmelā, yesuppāṉiyāvil uḷḷa ilāsŭ millēresu, aikkiya irāchiyathiluḷḷa chuḍōṉyeṅ pōṉḏra thaḷaṅgaḷilum kimŭ mūṉḏrām nūṯṟāṇḍaich chērndha thoḍakkak kāla ulōgaṅgaḷ payaṉbāḍŭ kuṟitha thagavalgaḷ aṟiyappaḍugiṉḏraṉa ."
"இதன்படி, ஒவ்வொரு இசுலாமியரும் ஆண்டுக்கு ஒருமுறை தனக்குச் சொந்தமான தங்க, வெள்ளி நகைகள் மற்றும் வியாபார பொருள்கள் ஆகிய செல்வத்தில் நாற்பதில் ஒரு பங்கை (100க்கு 2.5%) ஏழை எளியோருக்கு தானம் செய்ய வேண்டும்.","idhaṉbaḍi, ovvorŭ isulāmiyarum āṇḍukkŭ orumuṟai thaṉakkuch chondhamāṉa thaṅga, veḷḷi nagaigaḷ maṯṟum viyābāra poruḷgaḷ āgiya chelvathil nāṟpadhil orŭ paṅgai (100kkŭ 2.5%) yēzhai yeḷiyōrukkŭ thāṉam cheyya vēṇḍum."
படைமண்டலம் வெப்பநிலை அடிப்படையில் கீழே குளிர்ந்த அடுக்குகளும் மேலே சூடான அடுக்குகளுமாக அமைந்துள்ளது.,paḍaimaṇḍalam veppanilai aḍippaḍaiyil kīzhē kuḷirndha aḍukkugaḷum mēlē chūḍāṉa aḍukkugaḷumāga amaindhuḷḷadhu.
"1977 மக்களவை தேர்தலில்,பல கட்சிகள் ஒன்று சேர்ந்து ஜனதா என்ற பெயரில் ஒரே கட்சியாகப் பரிமளித்துப் போட்டியிட்டாலும், தனது முந்தைய கட்சியான பாரதீய லோக் தளத்தின் சின்னமான ஏர் உழவன் சின்னத்தையே, புதிய ஜனதாவின் சின்னமாக ஏற்றுக்கொள்ள வேண்டும் என்று சாதித்தார்.அதன் மூலம் 1977 ல் பிரதம மந்திரி ஆக விரும்பிய தனது லட்சியம் நிறைவேறும் என்று எதிர்பார்த்தவர் ஏமாற்றம் அடைந்ததார்; காரணம், அன்றைய கூட்டமைப்புத் தலைவர் ஜெயப்பிரகாஷ் நாராயண் அவர்களின் பிரதமர் தேர்வு மொரார்ஜி தேசாயாக இருந்ததே!","1977 makkaḷavai thērdhalil,pala kaṭchigaḷ oṉḏrŭ chērndhŭ jaṉadhā yeṉḏra peyaril orē kaṭchiyāgap parimaḷithup pōṭṭiyiṭṭālum, thaṉadhŭ mundhaiya kaṭchiyāṉa pāradhīya lōk thaḷathiṉ chiṉṉamāṉa yēr uzhavaṉ chiṉṉathaiyē, pudhiya jaṉadhāviṉ chiṉṉamāga yēṯṟukkoḷḷa vēṇḍum yeṉḏrŭ chādhithār.adhaṉ mūlam 1977 l piradhama mandhiri āga virumbiya thaṉadhŭ laṭchiyam niṟaivēṟum yeṉḏrŭ yedhirbārthavar yēmāṯṟam aḍaindhadhār; kāraṇam, aṉḏraiya kūṭṭamaipputh thalaivar jeyappiragāsh nārāyaṇ avargaḷiṉ piradhamar thērvŭ morārji thēsāyāga irundhadhē!"
"பாசோ தனது ஐக்கூ கவிதகளுக்காக மேற்குலகப் பகுதிகளில் பிரபலமடைந்தார் என்றாலும், ரெங்கு வடிவில் கூட்டுமுயற்சிக் கவிதைகள் எழுதுவதில் பங்கேற்றதும், அதில் முன்னணி வகித்ததுமே தனது சிறந்த பணியாக இருக்குமென்று பாசோ நம்பினார்.","pāsō thaṉadhŭ aikkū kavidhagaḷukkāga mēṟkulagap pagudhigaḷil pirabalamaḍaindhār yeṉḏrālum, reṅgŭ vaḍivil kūṭṭumuyaṟchik kavidhaigaḷ yezhudhuvadhil paṅgēṯṟadhum, adhil muṉṉaṇi vagithadhumē thaṉadhŭ chiṟandha paṇiyāga irukkumeṉḏrŭ pāsō nambiṉār."
சுவீடன் நாட்டைச் சேர்ந்த எலக்ட்ரோலக்ஸ் எனும் நிறுவனம் அவரிடமிருந்து அதன் உரிமையைப் பெற்றுச் சந்தையில் அறிமுகப்படுத்தியது.,chuvīḍaṉ nāṭṭaich chērndha yelakṭrōlaks yeṉum niṟuvaṉam avariḍamirundhŭ adhaṉ urimaiyaip peṯṟuch chandhaiyil aṟimugappaḍuthiyadhu.
"2005 முதல், 70 தேர்தல் தொகுதிகள் உள்ளன; மீதம் 50 இடங்கள் கட்சிகள் பெற்ற வாக்குகளுக்கு ஏற்ப பிரித்தளிக்கப்படுகின்றன.","2005 mudhal, 70 thērdhal thogudhigaḷ uḷḷaṉa; mīdham 50 iḍaṅgaḷ kaṭchigaḷ peṯṟa vākkugaḷukkŭ yēṟpa pirithaḷikkappaḍugiṉḏraṉa."
அண்டகங்களையும் கருப்பையையும் அப்படியே வைத்துவிட்டு புற்றை மட்டும் அறுவைசிகிச்சை மூலம் அகற்றுவதற்கு இதில் முயற்சி செய்யப்படும்.,aṇḍagaṅgaḷaiyum karuppaiyaiyum appaḍiyē vaithuviṭṭŭ puṯṟai maṭṭum aṟuvaisigichai mūlam agaṯṟuvadhaṟkŭ idhil muyaṟchi cheyyappaḍum.
"சுத்தமாயையிலிருந்து தோன்றும் ஐந்தையும், ""சிவதத்துவம்"" என்றும், அசுத்தமாயையிலிருந்து தோன்றும் ஏழையும் ""வித்தியாதத்துவம்"" என்றும், பிரகிருதி மாயையிலிருந்து தோன்றும் இருபத்து நான்கையும் ""ஆன்ம தத்துவம்"" என்றும் வகைப்படுத்துவர்.","chuthamāyaiyilirundhŭ thōṉḏrum aindhaiyum, ""chivadhathuvam"" yeṉḏrum, asuthamāyaiyilirundhŭ thōṉḏrum yēzhaiyum ""vithiyādhathuvam"" yeṉḏrum, piragirudhi māyaiyilirundhŭ thōṉḏrum irubathŭ nāṉgaiyum ""āṉma thathuvam"" yeṉḏrum vagaippaḍuthuvar."
இவர்கள் பட்டிகையில் படும் பந்தைச் சுழற்றுவதன் மூலம் பந்து வீசுவர்.,ivargaḷ paṭṭigaiyil paḍum pandhaich chuzhaṯṟuvadhaṉ mūlam pandhŭ vīsuvar.
அந்த இரு நாடுகளுக்கும் யு எஸ் ஜி ஏ (USGA) இந்த பணியினை மேற்கொள்ளும்.,andha irŭ nāḍugaḷukkum yŭ yes ji yē (USGA) indha paṇiyiṉai mēṟkoḷḷum.
இதில் இன்னும் கடினமான கணக்காக சில பதில்களை சதுர எண்ணாக தேவைப்படுகிற வினாவும் இருக்கிறது.,idhil iṉṉum kaḍiṉamāṉa kaṇakkāga chila padhilgaḷai chadhura yeṇṇāga thēvaippaḍugiṟa viṉāvum irukkiṟadhu.
"வாங்குவதற்கு முன்னால் அதில் பழம் நன்றாக கலந்து இருந்தால், அதனை பொதுவாக ஸ்விஸ்-பாணி என்பார்கள்.","vāṅguvadhaṟkŭ muṉṉāl adhil pazham naṉḏrāga kalandhŭ irundhāl, adhaṉai podhuvāga svis-pāṇi yeṉbārgaḷ."
"இரண்டாம் உலக போர் முடிவடைந்த பிறகு, பிரிட்டிஷ் பேரரசு படிப்படியாக அழிக்கப்பட்டது.","iraṇḍām ulaga pōr muḍivaḍaindha piṟagu, piriṭṭish pērarasŭ paḍippaḍiyāga azhikkappaṭṭadhu."
இது தற்போதைய தென்னமெரிக்காவில் பிந்திய கிரீத்தேசியக் காலத்தைச் சேர்ந்தது.,idhŭ thaṟpōdhaiya theṉṉamerikkāvil pindhiya kirīthēsiyak kālathaich chērndhadhu.
"பட்டு இயக்கத்தில் வெளிவந்த இத்திரைப்படத்தில் ஜெய்சங்கர், மஞ்சுளா மற்றும் பலரும் நடித்துள்ளனர்.","paṭṭŭ iyakkathil veḷivandha ithiraippaḍathil jeysaṅgar, manjuḷā maṯṟum palarum naḍithuḷḷaṉar."
"எனினும், 2011இல் பொதுஜன வாக்கெடுப்பின் மூலம் தென் சூடான் பகுதி தனி சுதந்திர நாடாகப் பிரகடனப்படுத்தப்பட்ட பின்னர், இது மாற்றமடைந்தது.","yeṉiṉum, 2011il podhujaṉa vākkeḍuppiṉ mūlam theṉ chūḍāṉ pagudhi thaṉi chudhandhira nāḍāgap piragaḍaṉappaḍuthappaṭṭa piṉṉar, idhŭ māṯṟamaḍaindhadhu."
"உலகம் முழுவதுக்குமான அதிபதி தானே எனவும், இந்த உலகம் முழுவதையும் படைத்த கடவுளும் தானே எனவும் இவன் வாதிடுவான்.","ulagam muzhuvadhukkumāṉa adhibadhi thāṉē yeṉavum, indha ulagam muzhuvadhaiyum paḍaitha kaḍavuḷum thāṉē yeṉavum ivaṉ vādhiḍuvāṉ."
விஜயா மற்றும் பலரும் நடித்துள்ளனர்.,vijayā maṯṟum palarum naḍithuḷḷaṉar.
அவ்வாறு திறை செலுத்திய உருசிய அரசுகள் தொடர்ந்தும் தங்கள் ஆட்சியுரிமையைத் தக்கவைத்திருந்தன.,avvāṟŭ thiṟai cheluthiya urusiya arasugaḷ thoḍarndhum thaṅgaḷ āṭchiyurimaiyaith thakkavaithirundhaṉa.
"உள்ளே மூலவருக்கு முன்பாக நந்தியும், பலிபீடமும் உள்ளன.","uḷḷē mūlavarukkŭ muṉbāga nandhiyum, palibīḍamum uḷḷaṉa."
