english,tamil,transliterated,colloquial: annotator 1,colloquial: annotator 2
This sickness can not become.,இந்த உடம்பு ‘நான்’ ஆக முடியாது.,indha uḍambŭ ‘nāṉ’ āga muḍiyādhu.,"indha udambu ""Naan"" avadhu","indha udambu ""Naan"" aaga mudiyaadhu"
This is not accepted by some researchers.,இது சில ஆய்வாளர்களால் ஒத்துக்கொள்ளபடுவது இல்லை.,idhŭ chila āyvāḷargaḷāl othukkoḷḷabaḍuvadhŭ illai.,idhu sila arachiyaalarkalale oththukkapadaradhu illai,idhu sila arachiyaalarkalale oththukkapadaradhu illai
There are three stations in Salem.,சேலத்தில் மூன்று தொடருந்து நிலையங்கள் உள்ளன.,chēlathil mūṉḏrŭ thoḍarundhŭ nilaiyaṅgaḷ uḷḷaṉa.,salethule moonu railway station irukku,salemle moonu railway station irukku
Some plays were successful at this time.,இந்நேரத்தில் சில நாடகங்கள் வெற்றி பெற்றன.,innērathil chila nāḍagaṅgaḷ veṯṟi peṯṟaṉa.,indhanerathile sila nadagankal nalla odichi,indha nerathule sila naadagankalaam nalla oduchi
His songs are in Tamil.,இவர் இயற்றிய பாடல்கள் தமிழில் உள்ளன.,ivar iyaṯṟiya pāḍalgaḷ thamizhil uḷḷaṉa.,ivaru ezhuthuna paatunga tamizhilile irukku,ivaru ezhuthuna paatulaam thamille irukku
It can also be referred to as a social network.,இதனை சமூக வலை எனவும் கூறலாம்.,idhaṉai chamūga valai yeṉavum kūṟalām.,idhai samooga valai appadeenu sollalaam,idha social net-nu sollalam
"The British called this ""Trooy of the East.""","பிரித்தானியர் இதனைக் ""கிழக்கின் ட்ரோய்"" என்றனர்.","pirithāṉiyar idhaṉaik ""kizhakkiṉ ṭrōy"" yeṉḏraṉar.","english-kaaranga idhai ""kizhakkin troy""  appadeenu sonnaanga","British-kaaranga idha ""kizhakkin troy""  appadeenu soluvaanga"
Its headquarters are in Guntur.,இதன் தலைமையகம் குண்டூர் நகரில் உள்ளது.,idhaṉ thalaimaiyagam kuṇḍūr nagaril uḷḷadhu.,ithoda thalamaiyedam kundoorle irukku,idhoda head office kundoorle irukku
It has been put on the other days.,அது போன்றே மற்ற நாட்களுக்கும் போடப்பட்டுள்ளது.,adhŭ pōṉḏrē maṯṟa nāṭkaḷukkum pōḍappaṭṭuḷḷadhu.,idhu polave maththaa naalukkum potturukku,adhu maariye maththaa naalukkum pottruku
Ayya ​​offered many teachings to the people.,அய்யா மக்களுக்கு பல போதனைகளை வழங்கினார்.,ayyā makkaḷukkŭ pala pōdhaṉaigaḷai vazhaṅgiṉār.,ayya makkalukku neraiye arivuraingale sonnaar,ayya makkalukku neraiye arivuraigale sonnaaru
Mahavishnu is the combined form of Uma and Sankara.,உமாவும் சங்கரரும் இணைந்த வடிவம் மகாவிஷ்ணு.,umāvum chaṅgararum iṇaindha vaḍivam magāvishṇu.,umavum sankaranum serndha uruvam perumal,umavum sankaranum serndha uruvam perumal
He will call it Thangapasam.,இதனை தங்கபஸ்பம் என்று கூறுவார் .,idhaṉai thaṅgabasbam yeṉḏrŭ kūṟuvār .,idhai thangapaspam appadeenu solluvaanga,idhai thangapaspam-nu solluvaanga
The term is not used greatly in today.,இன்றைய தினத்தில் இச்சொல் பெரிதாக பயன்படுத்தப்படுவதில்லை.,iṉḏraiya thiṉathil ichol peridhāga payaṉbaḍuthappaḍuvadhillai.,ippoellam indha vaarthe perusaa payanpattule ille,ippolaam indha vaarthe perusaa pesuradhile
"The maximum depth of the sea is 4,694 meters.","இக்கடலின் அதிகபட்ச ஆழம் 4,694 மீட்டர்.","ikkaḍaliṉ adhigabaṭcha āzham 4,694 mīṭṭar.",indha kadaloda adhigapatcha aazhalam 4694 meter,indha kadaloda adhigapatcha aazhalam 4694 meter
Earthquakes occur in all parts of the Earth.,புவியின் அனைத்துப் பகுதிகளிலும் நிலநடுக்கங்கள் ஏற்படுகின்றன.,puviyiṉ aṉaithup pagudhigaḷilum nilanaḍukkaṅgaḷ yēṟpaḍugiṉḏraṉa.,boomiyoda ella idathiliyum nilanadukkangal varudhu,boomile irukka ella idathulaiyum nilanadukam varudhu
Medina is a holy city of Muslims.,மதீனா முஸ்லிம்களின் புனித நகராக விளங்குகிறது.,madhīṉā muslimgaḷiṉ puṉidha nagarāga viḷaṅgugiṟadhu.,madhina muslimkaloda punidha idame irukku,madhinaa muslim-oda punidhamaana idam
934 were eligible to vote.,இதன் போது 934 வாக்களிக்க தகுதிபெற்றிருந்தனர்.,idhaṉ pōdhŭ 934 vākkaḷikka thagudhibeṯṟirundhaṉar.,appodhu 934 peru ottupoda thagudhiyanavanga,appo 934 peru ottu poda thagudhiyanavanga
This is the largest city of the country.,இதுவே இந்நாட்டின் பெரிய நகரமும் ஆகும்.,idhuvē innāṭṭiṉ periya nagaramum āgum.,idhudhaan indha naattoda periye  ooru,idhudhaan indha naattoda periye ooru
Kuberan is Ravana's half -brother.,குபேரன் இராவணனின் ஒன்றுவிட்ட அண்ணன் ஆவார்.,kubēraṉ irāvaṇaṉiṉ oṉḏruviṭṭa aṇṇaṉ āvār.,kuberan ravananoda onnuvitte annan,kuberan ravananoda onnuvitte annan
"In his mind, Advaita is true.",அவருடைய மனதிற்குள் அத்வைதம்தான் கடைநிலை உண்மை.,avaruḍaiya maṉadhiṟkuḷ athvaidhamdhāṉ kaḍainilai uṇmai.,avaroda manasule advaidhamthaan kadaisi unmai,avaroda manasule advaidhamthaan kadaisi unmai
The mind can make a man.,மனதால் ஒரு மனிதனை ஆக்கவும் முடியும்.,maṉadhāl orŭ maṉidhaṉai ākkavum muḍiyum.,manasale oru manusane uruvaakka mudiyum,manasale oru manusane uruvaakka mudiyum
Generally these are called types of forests.,பொதுவாக இவைகள் வனங்களின் வகைகள் எனப்படுகின்றன.,podhuvāga ivaigaḷ vaṉaṅgaḷiṉ vagaigaḷ yeṉappaḍugiṉḏraṉa.,podhuva idhellaam katungalode vagainga,podhuva idhellaam color-ode vagainga
He then worked as an officer in the plantation sector.,பின்னர் பெருந்தோட்டத்துறையில் அதிகாரியாக இணைந்து பணியாற்றினார்.,piṉṉar perundhōṭṭathuṟaiyil adhigāriyāga iṇaindhŭ paṇiyāṯṟiṉār.,apparam thottaththuraiyile adhigariye velai senjaar,apparam thottaththuraiyile adhigariye velai senjaaru
The Aranganathaswamy Temple is located in the center.,மையப் பகுதியில் அரங்கநாதசுவாமி கோயில் உள்ளது.,maiyap pagudhiyil araṅganādhasuvāmi kōyil uḷḷadhu.,nadupaguthiyile ranganaadhar koyil irukku,naduvule ranganaadhar koyil irukku
Can the lamp be loaded with sea water?,கடல் நீரில் தீபம் ஏற்ற முடியுமா?,kaḍal nīril thībam yēṯṟa muḍiyumā?,kadal thanniyile vilakku eththa mudiyuma?,kadal thanniyile vilakku eththa mudiyuma?
This is the story of the novel.,எளிமையாகச் சொல்லப்போனால் இந்நாவலின் கதை இதுதான்.,yeḷimaiyāgach chollappōṉāl innāvaliṉ kadhai idhudhāṉ.,surukkamaa sollanumna indha noveloda kadhai idhudhaan,simple-aa sollanumna indha novel-oda story idhudhan
He opposed the reform of the political system.,அரசியல் முறையைச் சீரமைப்பதை அவர் எதிர்த்துவந்தார்.,arasiyal muṟaiyaich chīramaippadhai avar yedhirthuvandhār.,arsiyalamaippe mathuradhukku ethirppu therivichaar,arsiyalamaippe mathuradhukku ethirppu therivichaaru
He has been upright with two legs.,அவன் இரண்டு கால்களால் நிமிர்ந்து நடந்திருக்கிறான்.,avaṉ iraṇḍŭ kālgaḷāl nimirndhŭ naḍandhirukkiṟāṉ.,avan rendu kaalale nimundhu nadakkaraan,avan rendu kaalale nimundhu nadandhrukaan
It is a paradise for bird views.,இது பறவை நோக்கர்களுக்கு ஒரு சொர்க்கமாகும்.,idhŭ paṟavai nōkkargaḷukkŭ orŭ chorkkamāgum.,idhu paravaingala paarkkaravarangalukku oru sorkkam,idhu paravai-ye paarkuravangalukku oru sorgam
It is called the Gateway of Chennai.,இது சென்னையின் நுழைவாயில் என அழைக்கப்படுகிறது.,idhŭ cheṉṉaiyiṉ nuzhaivāyil yeṉa azhaikkappaḍugiṟadhu.,idhu chennaiyoda nulaivaasal0nu sollappadudhu,idhu chennai-yoda nulaivaasal-nu soldraanga
"However, the child refused to drink.",ஆயினும் அப்பாலை குழந்தை குடிக்க மறுத்தது.,āyiṉum appālai kuzhandhai kuḍikka maṟuthadhu.,irundaalum andha paale kuzhandhai kudikkale,irundaalum andha paale kuzhandhai kudikkale
He was a teacher.,இவர் ஒரு ஆசிரியராகத் தொழில் புரிந்தார்.,ivar orŭ āsiriyarāgath thozhil purindhār.,ivaru oru vaaththiyare velai senjaar,ivaru teacher-a velai paathaaru
This will be the backdrop of the statue.,இது சிலைக்குப் பின்னணியாக இருக்கும்படி அமைந்திருக்கும்.,idhŭ chilaikkup piṉṉaṇiyāga irukkumbaḍi amaindhirukkum.,idhu silaikku pinnadi irukkuramaathiri irukkum,idhu silaikku pinnadi irukkuramaathiri irukku
"Of these, 68 are the general public.",இவர்களில் 68 பேர் பொது மக்கள்.,ivargaḷil 68 pēr podhŭ makkaḷ.,evangalle 68 peru podhu janam,evangalle 68 peru podhu makkal
Salt is dug from the mines.,உப்பு சுரங்கங்களிலிருந்து உப்பு தோண்டி எடுக்கப்படுகிறது.,uppŭ churaṅgaṅgaḷilirundhŭ uppŭ thōṇḍi yeḍukkappaḍugiṟadhu.,uppu surangathil irundhu  uppu vetti edukkappadudhu,uppu surangathule irundhu uppu thoondi edupaanga
Drona and Bhishma cried unable to control grief.,"துரோணரும்,பீஷ்மரும் துக்கத்தைக் கட்டுப்படுத்த முடியாமல் அழுதார்கள்.","thurōṇarum,pīshmarum thukkathaik kaṭṭuppaḍutha muḍiyāmal azhudhārgaḷ.",dhronarum bheeshmarum soogam thaangame azhudhaange,dhronarum bheeshmarum dhokkam thaangame azhudhaange
These are like a bent bubble.,இவை வளைந்து குமிழி போல இருக்கும்.,ivai vaḷaindhŭ kumizhi pōla irukkum.,edhu valanji kumili maathiri irukkum,edhu valanji kumili maathiri irukkum
Copies of some study are not on the Internet.,சில ஆய்வுகளின் நகல்கள் இணையத்தில் இல்லை.,chila āyvugaḷiṉ nagalgaḷ iṇaiyathil illai.,sila arrachikaloda nagalunga internetle ille,sila arrachikaloda copies internetle ille
But this is not mixed with the sea.,ஆனால் இது நோிடையாக கடலில் கலப்பதில்லை.,āṉāl idhŭ niḍaiyāga kaḍalil kalappadhillai.,aana edhu nera kadalile kalakkuradhillai,aana idhu nera kadalla kalakkala
This is low in the average rate of the country.,இது நாட்டின் சராசரி விகிதத்திலும் குறைவானதாகும்.,idhŭ nāṭṭiṉ charāsari vigidhathilum kuṟaivāṉadhāgum.,idhu nattoda sarasariyevida kammi,idha nattoda saraasai vagaile kammi
This includes the Vellore Lok Sabha constituency.,இது வேலூர் மக்களவைத் தொகுதியுள் அடங்குகிறது.,idhŭ vēlūr makkaḷavaith thogudhiyuḷ aḍaṅgugiṟadhu.,idhu vellooru makkalavai thoguthikkulle irukku,idhu velloor makkalavai thoguthikkulle irukku
Alaska day is observed throughout the state.,அலாஸ்கா நாள் மாநிலம் முழுவதும் கடைப்பிடிக்கப்படுகிறது.,alāsgā nāḷ mānilam muzhuvadhum kaḍaippiḍikkappaḍugiṟadhu.,alaaska naal maanilam mulusum kondaduvaanga,alaaska naal maanilam mulusum kadaippidikuranga
Saiva ideological texts blossomed at this time.,சைவ சித்தாந்த நூல்களும் இக்காலத்தே மலர்ந்தன.,chaiva chithāndha nūlgaḷum ikkālathē malarndhaṉa.,saiva siththaandha puththagangkalum indhakalathiladhaan vandhuchi,saiva siththaandha puththagam-lam indhakalathuladhaan vandhuchu
Many have changed the rules according to the environment.,பல சூழலுக்கேற்ப விதிகளை மாற்றிக்கொண்டுள்ளன.,pala chūzhalukkēṟpa vidhigaḷai māṯṟikkoṇḍuḷḷaṉa.,neraiye soolnilaikku eththamaadhiri vidhingkale maaththikkudhu,neraiye suitation-ku eththamaadhiri rules-aa maaththikkudhu
Murasu returned after the ceremony.,விழா முடிந்து முரசு திரும்பி வந்தது.,vizhā muḍindhŭ murasŭ thirumbi vandhadhu.,nigalchi mudinjadhum murasu thirumba vandhuchi,Function mudinjadhum murasu thirumba vandhuchi
This is the name of the dog.,இவ்வூர் கோம்பை நாய் வகைக்குப் பெயர்பெற்றதாகும்.,ivvūr kōmbai nāy vagaikkup peyarbeṯṟadhāgum.,indha ooru koambai naayi vagaikku peruponadhu,indha ooru kommbai naayi vagaikku peruponadhu
Government texts confirm this.,இதை அரசாங்க நூல்களும் உறுதி செய்கின்றன.,idhai arasāṅga nūlgaḷum uṟudhi cheygiṉḏraṉa.,idhe arasaanga puththagangkalum urudhi senjichuchi,idhe arasaanga puththagangkalum urudhi senjaanga
There is no separate HO flavor or marriage.,தனி HO சுவையோ மணமோ அற்றது.,thaṉi HO chuvaiyō maṇamō aṯṟadhu.,thani HO suvaiyo vaasamo illadadhu,thani HO taste-o vaasamo illadadhu
There are many intermediates known between the two.,இவ்விரண்டுக்கும் இடையில் பல இடைநிலைகள் அறியப்படுகின்றன.,ivviraṇḍukkum iḍaiyil pala iḍainilaigaḷ aṟiyappaḍugiṉḏraṉa.,indharendukkum naduvule neriaye idainilainga irukku,indha rendukkum naduvule neriaye idainilai irukku
His lectures there are famous.,அங்கு இவர் ஆற்றிய விரிவுரைகள் புகழ்மிக்கவை.,aṅgŭ ivar āṯṟiya virivuraigaḷ pugazhmikkavai.,ange avaru pesune urainga perumaiyanadhu,ange avaru pesune urainga perumaiyanadhu
"He named it ""Parkstein"".","இதற்கு அவர் ""பார்க்ஸ்டைன்"" என்ற பெயரிட்டார்.","idhaṟkŭ avar ""pārksḍaiṉ"" yeṉḏra peyariṭṭār.","idhukku avaru ""Barkstein""-nu peruvachaar","idhukku avaru ""Barkstein""-nu peruvachaaru"
The clerk's work does not give him a heartfelt.,எழுத்தர் பணி அவருக்கு மனநிறைவை அளிக்கவில்லை.,yezhuthar paṇi avarukkŭ maṉaniṟaivai aḷikkavillai.,ezhththaalar velai avarukku manathirupthiye tharale,writter velai avarukku manathirupthiye tharale
"He was released on December 20,1924.","டிசம்பர் 20,1924 ல் விடுதலை செய்யப்பட்டார்.","ṭisambar 20,1924 l viḍudhalai cheyyappaṭṭār.","december 20, 1924le viduthale senjaanga","december 20, 1924le viduthale senjaanga"
George was the one who built the event.,இவ்வணையைக் கட்டியவர் ஜார்ஜ் என்னும் ஆங்கிலேயர்.,ivvaṇaiyaik kaṭṭiyavar jārj yeṉṉum āṅgilēyar.,indhaanaiyai kattunavaru george-ngkara angileyar,indha anaiyai kattunavaru george-ngkara angileyar
He worshiped him and returned to town.,அவரை வணங்கி ஊருக்குத் திரும்பினார்.,iyaṟpagaiyārum avarai vaṇaṅgi ūrukkuth thirumbiṉār.,avarai kumbittuvittu oorukku vandhaar,avara kumbittu oorukku vandhaaru
"After nine years, he made this statement.",ஒன்பது ஆண்டுகள் சென்றபின் இச்சாதனையைப்புரிந்தார்.,oṉbadhŭ āṇḍugaḷ cheṉḏrabiṉ  ichādhaṉaiyaippurindhār.,onbadhu varusaththukku apparam indha saadhanaiye panninaar,onbadhu varusaththukku apparam indha saadhanaiye panninaaruu
God has created man as his likeness.,கடவுள் மனிதரைத் தம் சாயலாகப் படைத்துள்ளார்.,kaḍavuḷ maṉidharaith tham chāyalāgap paḍaithuḷḷār.,kadavul manusane thannoda saayalile padaichaar,kadavul manushane thannoda saayalile padaichaaru
By this he became a famous artist.,இதன் மூலம் அவர் பிரபலமான கலைஞரானார்.,idhaṉ mūlam avar pirabalamāṉa kalaiñarāṉār.,idhu moolamaa avaru periye kalaignan aanaaru,idhu moolamaa avaru periye kalaignan aanaaru
One of those caught was suicidal.,பிடிபட்டவர்களில் ஒருவர் தற்கொலை புரிந்து கொண்டார்.,piḍibaṭṭavargaḷil oruvar thaṟkolai purindhŭ koṇḍār.,pidipattavangalile oruththar tharkolai pannikittaar,pidipattavangalile oruththar tharkolai pannittaaruu
"In 2007, the Tamil Nadu Tourism Department was renovated.",2007 ல் தமிழ்நாடு சுற்றுலாத்துறையினரால் புனரமைக்கப்பட்டது.,2007 l thamizhnāḍŭ chuṯṟulāthuṟaiyiṉarāl puṉaramaikkappaṭṭadhu.,2007le tamizhnaadu sutrulaathurai adhikaringa pudhuppichaanga,2007le tamizhnaadu sutrulaathurai adhikaringa pudhuppichaanga
"Annalakshmi is also a native, and is a Tamil.","அன்னலட்சுமியும் வடமொழி, மற்றும் தமிழறிவு பெற்றவர்.","aṉṉalaṭchumiyum vaḍamozhi, maṯṟum thamizhaṟivŭ peṯṟavar.",annalakshmikku vadamozhiyum tamizhum theriyum,annalakshmi-kku vadamozhiyum tamizhum theriyum
It will plow the field smoothly quickly.,சீராக விரைவாக இது வயலை உழும்.,chīrāga viraivāga idhŭ vayalai uzhum.,ozhungaa vegamaa idhu vayale uzhuvum,samamaagaa vegamaa idhu vayale velaseiyum
Then they make Cola from it.,பின் அவர்கள் அதிலிருந்து கோலாவை தயாரிப்பார்கள்.,piṉ avargaḷ adhilirundhŭ kōlāvai thayārippārgaḷ.,apparam avanga adhule irundhu  kolavai thayarippaanga,apparam avanga adhule irundhu kolaavai seivaanga
Photography is the first of these.,ஒளிச்சேர்க்கை இவற்றில் முதன்மையான இடத்தைப் பிடிக்கிறது.,oḷichērkkai ivaṯṟil mudhaṉmaiyāṉa iḍathaip piḍikkiṟadhu.,olicherkkai idhule modhal idaththa pudikkum,olicherkkai idhule modhal idaththa pudikkum
So they stopped the food going to the castle.,"எனவே, கோட்டைக்குச் செல்லும் உணவை நிறுத்தினர்.","yeṉavē, kōṭṭaikkuch chellum uṇavai niṟuthiṉar.",athanale koottaikku poora saappaattai niruththunaanga,athanale koottaikku poora saappaattai niruthitaanga
"The film was written, directed and produced by Sridhar.","இப்படத்தை ஸ்ரீதர் எழுதி, இயக்கி, தயாரித்திருந்தார்.","ippaḍathai srīdhar yezhudhi, iyakki, thayārithirundhār.",indha padaththai sridhar ezhudhi iyakki thayarichchirundhaar,indha padaththa sridhar ezhudhi iyakki thayarichchirundhaaru
A variety of information is collected.,பலவிதமான தகவல்கள் சேகரித்து வைக்கப்படுகிறது.,palavidhamāṉa thagavalgaḷ chēgarithŭ vaikkappaḍugiṟadhu.,neriaye visayanga serththu vachchirukku,neriaye visayanga serththu vachchirukaanga
The war continued for almost 30 years.,போர் கிட்டத்தட்ட 30 ஆண்டுகளுக்கு தொடர்ந்தது.,pōr kiṭṭathaṭṭa 30 āṇḍugaḷukkŭ thoḍarndhadhu.,sandai erakkuraiye 30 varusam nadandhuchu,por kitta ththatta 30 varusam nadandhuchu
Ancient India excelled in science.,பண்டைய இந்தியாவானது அறிவியலில் சிறந்து விளங்கியது.,paṇḍaiya indhiyāvāṉadhŭ aṟiviyalil chiṟandhŭ viḷaṅgiyadhu.,adhikaalaththu inthiyavule ariviyalarivu sirappaa irunththuchi,andhkaala Indiale ariviyalum sirappa irunththuchi
Isis is known as the mother of Cleopatra.,கிளியோபாட்ராவின் தாயாக இஸிஸ் என்பர் அறியப்பெறுகிறார்.,kiḷiyōbāṭrāviṉ thāyāga isis yeṉbar aṟiyappeṟugiṟār.,kiliyopatra-voda amma isis,kiliyopatra-voda amma isis-nu soldranga
He has no one or a companion.,"அவனுக்கு நிகராகவோ, துணையாகவோ யாரும் இல்லை.","avaṉukkŭ nigarāgavō, thuṇaiyāgavō yārum illai.","avanukku samamaavo, inaiyaavo yaarum ille",avanukku equal-aa yaarum ille
It is the book that many reads.,அது மிகப் பலர் வாசிக்கும் நூலாகும்.,adhŭ migap palar vāsikkum nūlāgum.,idhu neraiye peru padikkum puththagam,adhu neraiye peru padikkira book-u
Even Tamils ​​and Muslims live here.,"தமிழர்களும், முஸ்லிம்களும் கூட இங்கு வாழ்கின்றனர்.","thamizhargaḷum, muslimgaḷum kūḍa iṅgŭ vāzhgiṉḏraṉar.",tamizhargalum muslimgalum kooda inge vazhraanga,tamizhargalum muslimgalum kooda inge irukaanga
Production production has not yet improved.,மகிழுந்து உற்பத்தி இன்னமும் முன்னேற்றம் அடையவில்லை.,magizhundhŭ uṟpathi iṉṉamum muṉṉṯṟam aḍaiyavillai.,car urpaththi innum munneralle,car production innum munneralle
Suradha's first book is kissing.,சுரதாவின் முதல் நூல் சாவின் முத்தம்.,churadhāviṉ mudhal nūl chāviṉ mutham.,suradhavoda modhal novel saavin muththam,suradhavoda modhal novel saavin muththam
"Immediately, people surrounded him.","உடனே, மக்கள் அவரைச் சூழ்ந்து கொண்டனர்.","uḍaṉē, makkaḷ avaraich chūzhndhŭ koṇḍaṉar.","odane, makkal avarai suththi ninaanga","odane, makkal avara suththi nittaanga"
Australia is the largest coal export.,அதிகளவு நிலக்கரி ஏற்றுமதியாளராக ஆஸ்திரேலியா திகழ்கிறது.,adhigaḷavŭ nilakkari yēṯṟumadhiyāḷarāga āsdhirēliyā thigazhgiṟadhu.,australia adhigame nilakkari eetrumathi seyyudhu,australia dhan adhigame nilakkari eetrumathi pandraanga
The majority of the population are indigenous people.,மக்கள் தொகையில் பெரும்பான்மையினர் பழங்குடி மக்கள்.,makkaḷ thogaiyil perumbāṉmaiyiṉar pazhaṅguḍi makkaḷ.,makkal thogaiyule adhigamanavanga aadhivaasinga,makkal thogaile adhiga aadhivaasinga irukkanga
His family relocated to Madurai at an early age.,சிறுவயதிலேயே அவரது குடும்பம் மதுரைக்கு இடம்பெயர்ந்தது.,chiṟuvayadhilēyē avaradhŭ kuḍumbam madhuraikkŭ iḍambeyarndhadhu.,sinnavayasule avanga kudumbam maduraikku poyiruchu,sinnavayasule avanga kudumbam maduraikku poyitanga
He also worked as a bank director there.,அங்கே ஒரு வங்கி இயக்குனராகவும் பணியாற்றினார்.,aṅgē orŭ vaṅgi iyakkuṉarāgavum paṇiyāṯṟiṉār.,ange oru vangiyile meladhigariye velai senjaar,ange oru bankle velai senjaaru
He is permitted to sue any court in India.,இந்தியாவின் எந்தவொரு நீதிமன்றத்திலும் வழக்காட அனுமதியுடையவர்.,indhiyāviṉ yendhavorŭ nīdhimaṉḏrathilum vazhakkāḍa aṉumadhiyuḍaiyavar.,india-voda endha court-liyum vaadhada anumathi irukkuravar,india-voda endha court-liyum vaadhada anumathi irukkuravaru
These watches can still be found today.,இவ்வகைக் கடிகாரங்களை இன்றும் ஆங்காங்கே காணலாம்.,ivvagaik kaḍigāraṅgaḷai iṉḏrum āṅgāṅgē kāṇalām.,indha maadhiri kadikaarangale innum angangange paarkkalaam,indha maadhiri clock-lam innum angangange paarkkalaam
His death is considered full of secret.,அவரது மரணம் இரகசியம் நிறைந்ததாக கருதப்படுகிறது.,avaradhŭ maraṇam iragasiyam niṟaindhadhāga karudhappaḍugiṟadhu.,avaroda saavula ragasiyam irukku,avaroda yerappule neraiya ragasiyam irukku
He surpassed the record of Tarnton.,தார்ன்டன் செய்திருந்த சாதனையை அவர் விஞ்சினார்.,thārṉḍaṉ cheydhirundha chādhaṉaiyai avar vinjiṉār.,tharndon senja saadhanaiye avaru minjittaar,Thornton panna saadhanaiye avaru minjittaaru
They often fail in preventing the recession.,மந்தநிலையைத் தடுப்பதில் அவை பெரும்பாலும் தோல்வியடைகின்றன.,mandhanilaiyaith thaḍuppadhil avai perumbālum thōlviyaḍaigiṉḏraṉa.,mandamana nilayai thadukkaradhule adhu ellame thokkudhu,mandamana nilayai thadukka adhu ellame thoththuduchu
"In this business, China's handmade is.",இந்த வணிகத்தில் சீனாவின் கைமேலோங்கி இருந்தது.,indha vaṇigathil chīṉāviṉ kaimēlōṅgi irundhadhu.,indha viyabarathule seenavoda kaithaan oongi irukku,indha viyabarathule china-voda kaithaan oongi irukku
I had to go to England to raise funds.,நிதி திரட்ட இங்கிலாந்துக்கு செல்ல வேண்டியிருந்தது.,nidhi thiraṭṭa iṅgilāndhukkŭ chella vēṇḍiyirundhadhu.,panam poratta england poga vendiirukkudhu,nidhi poratta england poga vendiyadhaachu
His death is spoken in many ways.,இவர் இறப்பு பற்றி பலவிதங்களில் பேசப்படுகிறது.,ivar iṟappŭ paṯṟi palavidhaṅgaḷil pēsappaḍugiṟadhu.,ivaru saavai paththi palavidhamaa pechchu irukku,ivaru saavu paththi palavidhamaa pechchu irukku
"As well as the principle of sovereignty, it is widespread.",அத்துடன் இறைமறுப்பு கொள்கையும் பரவலாகக் காணப்படுகிறது.,athuḍaṉ iṟaimaṟuppŭ koḷgaiyum paravalāgak kāṇappaḍugiṟadhu.,adhode naaththigam adhigamaa irukkudhu,adhode naaththigam adhigamaa irukkudhu
It is the fourth language spoken in India.,இந்தியாவில் அதிகம் பேசப்படும் நான்காவது மொழியாகும்.,indhiyāvil adhigam pēsappaḍum nāṉgāvadhŭ mozhiyāgum.,india-vula adhigam pesura naalavadhu mozhi,indiale adhigama pesura naalavadhu mozhi
The ships carrying Abbines were also attacked.,அபின்கள் ஏற்றி வந்த கப்பல்களும் தாக்கப்பட்டன.,abiṉgaḷ yēṯṟi vandha kappalgaḷum thākkappaṭṭaṉa.,abin eththi vandha kappal ellam adichi norukkiyachu,abin eththi vandha kappal ellam adichi norukkitaanga
His first collection of tears.,இவரது முதற் கவிதைத்தொகுப்பு கண்ணீர்ப் பூக்கள்.,ivaradhŭ mudhaṟ kavidhaithoguppŭ kaṇṇīrp pūkkaḷ.,avaroda mudhal kavithai puththagam kanneeropookkal,avaroda mudhal kavithai puththagam kanneeropookkal
The movement was said to have failed in later years.,பின்னாட்களில் இந்த இயக்கம் தோல்வியடைந்ததாகக் கூறப்பட்டது.,piṉṉāṭkaḷil indha iyakkam thōlviyaḍaindhadhāgak kūṟappaṭṭadhu.,pinnadi indha iyakkam thoolvi achu,pinnadi indha iyakkam thoththrucchu
Some of them are given below.,அவற்றில் சில கீழே கொடுக்கப் பட்டுள்ளன.,avaṯṟil chila kīzhē koḍukkap paṭṭuḷḷaṉa.,adule konjam keezhe irukku,adhue konjam keezhe irukku
It is customary to bury the dead people.,இறந்த மக்களைப் புதைப்பது இவர்கள் வழக்கம்.,iṟandha makkaḷaip pudhaippadhŭ ivargaḷ vazhakkam.,seththu pona makkalai puthaikkaradhu ivanga vazhakkam,erandha makkala puthaikkaradhu ivanga vazhakkam
The name has been in the country for 180 years.,இப்பெயர் 180 ஆண்டுகளாக அந்நாட்டிற்கு நிலைத்திருந்தது.,ippeyar 180 āṇḍugaḷāga annāṭṭiṟkŭ nilaithirundhadhu.,indhaperu 180 varusamaa andha naattukku irundhuchi,indha peru 180 varusamaa andha naattle nelachu irundhuchi
The difference between the two is the user number.,இரண்டுக்கும் உள்ள வேறுபாடு பயனர் எண்ணிக்கையே.,iraṇḍukkum uḷḷa vēṟubāḍŭ payaṉar yeṇṇikkaiyē.,rendukkum ulla viththiyaasam payanaalinga kanakke,rendukkum ulla difference payanaalinga kanakke
He has played two significant roles.,இரண்டு குறிப்பிடத்தகுந்த பாத்திரங்களை இவர் செய்துள்ளார்.,iraṇḍŭ kuṟippiḍathagundha pāthiraṅgaḷai ivar cheydhuḷḷār.,rendu sollikolramaadhiri kathaapaathirangalile ivar nadichirukkaar,rendu sollikolra alavukku kathaapaathirangale ivaru senjaaru
This story is one of Jesus' famous parables.,இக்கதை இயேசுவின் பிரபல உவமைகளில் ஒன்றாகும்.,ikkadhai iyēsuviṉ pirabala uvamaigaḷil oṉḏrāgum.,indhakadhai yesuvoda pirabalamanathule onnu,indha kadhai yesu-oda famous-aana onnu
