english,tamil,transliterated,colloquial: annotator 1,colloquial: annotator 2
The mind can make a man.,மனதால் ஒரு மனிதனை ஆக்கவும் முடியும்.,manadhaal oru manidhanai aakkavum mudiyum.,manasale oru manusane uruvaakka mudiyum,manasale oru manusane uruvaakka mudiyum
Generally these are called types of forests.,பொதுவாக இவைகள் வனங்களின் வகைகள் எனப்படுகின்றன.,podhuvaaga ivaigal vanangalin vagaigal enappadugindrana.,podhuva idhellaam katungalode vagainga,podhuva idhellaam color-ode vagainga
He then worked as an officer in the plantation sector.,பின்னர் பெருந்தோட்டத்துறையில் அதிகாரியாக இணைந்து பணியாற்றினார்.,pinnar perundhottathuraiyil adhigaariyaaga inaindhu paniyaatrinaar.,apparam thottaththuraiyile adhigariye velai senjaar,apparam thottaththuraiyile adhigariye velai senjaaru
The Aranganathaswamy Temple is located in the center.,மையப் பகுதியில் அரங்கநாதசுவாமி கோயில் உள்ளது.,maiyap pagudhiyil aranganaadhasuvaami koyil ulladhu.,nadupaguthiyile ranganaadhar koyil irukku,naduvule ranganaadhar koyil irukku
Can the lamp be loaded with sea water?,கடல் நீரில் தீபம் ஏற்ற முடியுமா?,kadal neeril theebam aetra mudiyumaa?,kadal thanniyile vilakku eththa mudiyuma?,kadal thanniyile vilakku eththa mudiyuma?
This is the story of the novel.,எளிமையாகச் சொல்லப்போனால் இந்நாவலின் கதை இதுதான்.,elimaiyaagach chollapponaal innaavalin kadhai idhudhaan.,surukkamaa sollanumna indha noveloda kadhai idhudhaan,simple-aa sollanumna indha novel-oda story idhudhan
He opposed the reform of the political system.,அரசியல் முறையைச் சீரமைப்பதை அவர் எதிர்த்துவந்தார்.,arasiyal muraiyaich cheeramaippadhai avar edhirthuvandhaar.,arsiyalamaippe mathuradhukku ethirppu therivichaar,arsiyalamaippe mathuradhukku ethirppu therivichaaru
He has been upright with two legs.,அவன் இரண்டு கால்களால் நிமிர்ந்து நடந்திருக்கிறான்.,avan irandu kaalgalaal nimirndhu nadandhirukkiraan.,avan rendu kaalale nimundhu nadakkaraan,avan rendu kaalale nimundhu nadandhrukaan
It is a paradise for bird views.,இது பறவை நோக்கர்களுக்கு ஒரு சொர்க்கமாகும்.,idhu paravai nokkargalukku oru chorkkamaagum.,idhu paravaingala paarkkaravarangalukku oru sorkkam,idhu paravai-ye paarkuravangalukku oru sorgam
It is called the Gateway of Chennai.,இது சென்னையின் நுழைவாயில் என அழைக்கப்படுகிறது.,idhu chennaiyin nuzhaivaayil ena azhaikkappadugiradhu.,idhu chennaiyoda nulaivaasal0nu sollappadudhu,idhu chennai-yoda nulaivaasal-nu soldraanga
"However, the child refused to drink.",ஆயினும் அப்பாலை குழந்தை குடிக்க மறுத்தது.,aayinum appaalai kuzhandhai kudikka maruthadhu.,irundaalum andha paale kuzhandhai kudikkale,irundaalum andha paale kuzhandhai kudikkale
He was a teacher.,இவர் ஒரு ஆசிரியராகத் தொழில் புரிந்தார்.,ivar oru aasiriyaraagath thozhil purindhaar.,ivaru oru vaaththiyare velai senjaar,ivaru teacher-a velai paathaaru
This will be the backdrop of the statue.,இது சிலைக்குப் பின்னணியாக இருக்கும்படி அமைந்திருக்கும்.,idhu chilaikkup pinnaniyaaga irukkumbadi amaindhirukkum.,idhu silaikku pinnadi irukkuramaathiri irukkum,idhu silaikku pinnadi irukkuramaathiri irukku
"Of these, 68 are the general public.",இவர்களில் 68 பேர் பொது மக்கள்.,ivargalil 68 paer podhu makkal.,evangalle 68 peru podhu janam,evangalle 68 peru podhu makkal
Salt is dug from the mines.,உப்பு சுரங்கங்களிலிருந்து உப்பு தோண்டி எடுக்கப்படுகிறது.,uppu churangangalilirundhu uppu thondi edukkappadugiradhu.,uppu surangathil irundhu  uppu vetti edukkappadudhu,uppu surangathule irundhu uppu thoondi edupaanga
Drona and Bhishma cried unable to control grief.,"துரோணரும்,பீஷ்மரும் துக்கத்தைக் கட்டுப்படுத்த முடியாமல் அழுதார்கள்.","thuronarum,peeshmarum thukkathaik kattuppadutha mudiyaamal azhudhaargal.",dhronarum bheeshmarum soogam thaangame azhudhaange,dhronarum bheeshmarum dhokkam thaangame azhudhaange
These are like a bent bubble.,இவை வளைந்து குமிழி போல இருக்கும்.,ivai valaindhu kumizhi pola irukkum.,edhu valanji kumili maathiri irukkum,edhu valanji kumili maathiri irukkum
Copies of some study are not on the Internet.,சில ஆய்வுகளின் நகல்கள் இணையத்தில் இல்லை.,chila aayvugalin nagalgal inaiyathil illai.,sila arrachikaloda nagalunga internetle ille,sila arrachikaloda copies internetle ille
But this is not mixed with the sea.,ஆனால் இது நோிடையாக கடலில் கலப்பதில்லை.,aanaal idhu nidaiyaaga kadalil kalappadhillai.,aana edhu nera kadalile kalakkuradhillai,aana idhu nera kadalla kalakkala
This is low in the average rate of the country.,இது நாட்டின் சராசரி விகிதத்திலும் குறைவானதாகும்.,idhu naattin charaasari vigidhathilum kuraivaanadhaagum.,idhu nattoda sarasariyevida kammi,idha nattoda saraasai vagaile kammi
This includes the Vellore Lok Sabha constituency.,இது வேலூர் மக்களவைத் தொகுதியுள் அடங்குகிறது.,idhu vaeloor makkalavaith thogudhiyul adangugiradhu.,idhu vellooru makkalavai thoguthikkulle irukku,idhu velloor makkalavai thoguthikkulle irukku
Alaska day is observed throughout the state.,அலாஸ்கா நாள் மாநிலம் முழுவதும் கடைப்பிடிக்கப்படுகிறது.,alaasgaa naal maanilam muzhuvadhum kadaippidikkappadugiradhu.,alaaska naal maanilam mulusum kondaduvaanga,alaaska naal maanilam mulusum kadaippidikuranga
Saiva ideological texts blossomed at this time.,சைவ சித்தாந்த நூல்களும் இக்காலத்தே மலர்ந்தன.,chaiva chithaandha noolgalum ikkaalathae malarndhana.,saiva siththaandha puththagangkalum indhakalathiladhaan vandhuchi,saiva siththaandha puththagam-lam indhakalathuladhaan vandhuchu
Many have changed the rules according to the environment.,பல சூழலுக்கேற்ப விதிகளை மாற்றிக்கொண்டுள்ளன.,pala choozhalukkaerpa vidhigalai maatrikkondullana.,neraiye soolnilaikku eththamaadhiri vidhingkale maaththikkudhu,neraiye suitation-ku eththamaadhiri rules-aa maaththikkudhu
Murasu returned after the ceremony.,விழா முடிந்து முரசு திரும்பி வந்தது.,vizhaa mudindhu murasu thirumbi vandhadhu.,nigalchi mudinjadhum murasu thirumba vandhuchi,Function mudinjadhum murasu thirumba vandhuchi
This is the name of the dog.,இவ்வூர் கோம்பை நாய் வகைக்குப் பெயர்பெற்றதாகும்.,ivvoor kombai naay vagaikkup peyarbetradhaagum.,indha ooru koambai naayi vagaikku peruponadhu,indha ooru kommbai naayi vagaikku peruponadhu
Government texts confirm this.,இதை அரசாங்க நூல்களும் உறுதி செய்கின்றன.,idhai arasaanga noolgalum urudhi cheygindrana.,idhe arasaanga puththagangkalum urudhi senjichuchi,idhe arasaanga puththagangkalum urudhi senjaanga
There is no separate HO flavor or marriage.,தனி HO சுவையோ மணமோ அற்றது.,thani HO chuvaiyo manamo atradhu.,thani HO suvaiyo vaasamo illadadhu,thani HO taste-o vaasamo illadadhu
There are many intermediates known between the two.,இவ்விரண்டுக்கும் இடையில் பல இடைநிலைகள் அறியப்படுகின்றன.,ivvirandukkum idaiyil pala idainilaigal ariyappadugindrana.,indharendukkum naduvule neriaye idainilainga irukku,indha rendukkum naduvule neriaye idainilai irukku
His lectures there are famous.,அங்கு இவர் ஆற்றிய விரிவுரைகள் புகழ்மிக்கவை.,angu ivar aatriya virivuraigal pugazhmikkavai.,ange avaru pesune urainga perumaiyanadhu,ange avaru pesune urainga perumaiyanadhu
"He named it ""Parkstein"".","இதற்கு அவர் ""பார்க்ஸ்டைன்"" என்ற பெயரிட்டார்.","idharku avar ""paarksdain"" endra peyarittaar.","idhukku avaru ""Barkstein""-nu peruvachaar","idhukku avaru ""Barkstein""-nu peruvachaaru"
The clerk's work does not give him a heartfelt.,எழுத்தர் பணி அவருக்கு மனநிறைவை அளிக்கவில்லை.,ezhuthar pani avarukku mananiraivai alikkavillai.,ezhththaalar velai avarukku manathirupthiye tharale,writter velai avarukku manathirupthiye tharale
"He was released on December 20,1924.","டிசம்பர் 20,1924 ல் விடுதலை செய்யப்பட்டார்.","tisambar 20,1924 l vidudhalai cheyyappattaar.","december 20, 1924le viduthale senjaanga","december 20, 1924le viduthale senjaanga"
George was the one who built the event.,இவ்வணையைக் கட்டியவர் ஜார்ஜ் என்னும் ஆங்கிலேயர்.,ivvanaiyaik kattiyavar jaarj ennum aangilaeyar.,indhaanaiyai kattunavaru george-ngkara angileyar,indha anaiyai kattunavaru george-ngkara angileyar
He worshiped him and returned to town.,அவரை வணங்கி ஊருக்குத் திரும்பினார்.,avarai vanangi oorukkuth thirumbinaar.,avarai kumbittuvittu oorukku vandhaar,avara kumbittu oorukku vandhaaru
"After nine years, he made this statement.",ஒன்பது ஆண்டுகள் சென்றபின் இச்சாதனையைப்புரிந்தார்.,onbadhu aandugal chendrabin ichaadhanaiyaippurindhaar.,onbadhu varusaththukku apparam indha saadhanaiye panninaar,onbadhu varusaththukku apparam indha saadhanaiye panninaaruu
God has created man as his likeness.,கடவுள் மனிதரைத் தம் சாயலாகப் படைத்துள்ளார்.,kadavul manidharaith tham chaayalaagap padaithullaar.,kadavul manusane thannoda saayalile padaichaar,kadavul manushane thannoda saayalile padaichaaru
By this he became a famous artist.,இதன் மூலம் அவர் பிரபலமான கலைஞரானார்.,idhan moolam avar pirabalamaana kalainyaraanaar.,idhu moolamaa avaru periye kalaignan aanaaru,idhu moolamaa avaru periye kalaignan aanaaru
One of those caught was suicidal.,பிடிபட்டவர்களில் ஒருவர் தற்கொலை புரிந்து கொண்டார்.,pidibattavargalil oruvar tharkolai purindhu kondaar.,pidipattavangalile oruththar tharkolai pannikittaar,pidipattavangalile oruththar tharkolai pannittaaruu
"In 2007, the Tamil Nadu Tourism Department was renovated.",2007 ல் தமிழ்நாடு சுற்றுலாத்துறையினரால் புனரமைக்கப்பட்டது.,2007 l thamizhnaadu chutrulaathuraiyinaraal punaramaikkappattadhu.,2007le tamizhnaadu sutrulaathurai adhikaringa pudhuppichaanga,2007le tamizhnaadu sutrulaathurai adhikaringa pudhuppichaanga
"Annalakshmi is also a native, and is a Tamil.","அன்னலட்சுமியும் வடமொழி, மற்றும் தமிழறிவு பெற்றவர்.","annalatchumiyum vadamozhi, matrum thamizharivu petravar.",annalakshmikku vadamozhiyum tamizhum theriyum,annalakshmi-kku vadamozhiyum tamizhum theriyum
It will plow the field smoothly quickly.,சீராக விரைவாக இது வயலை உழும்.,cheeraaga viraivaaga idhu vayalai uzhum.,ozhungaa vegamaa idhu vayale uzhuvum,samamaagaa vegamaa idhu vayale velaseiyum
Then they make Cola from it.,பின் அவர்கள் அதிலிருந்து கோலாவை தயாரிப்பார்கள்.,pin avargal adhilirundhu kolaavai thayaarippaargal.,apparam avanga adhule irundhu  kolavai thayarippaanga,apparam avanga adhule irundhu kolaavai seivaanga
Photography is the first of these.,ஒளிச்சேர்க்கை இவற்றில் முதன்மையான இடத்தைப் பிடிக்கிறது.,olichaerkkai ivatril mudhanmaiyaana idathaip pidikkiradhu.,olicherkkai idhule modhal idaththa pudikkum,olicherkkai idhule modhal idaththa pudikkum
So they stopped the food going to the castle.,"எனவே, கோட்டைக்குச் செல்லும் உணவை நிறுத்தினர்.","enavae, kottaikkuch chellum unavai niruthinar.",athanale koottaikku poora saappaattai niruththunaanga,athanale koottaikku poora saappaattai niruthitaanga
"The film was written, directed and produced by Sridhar.","இப்படத்தை ஸ்ரீதர் எழுதி, இயக்கி, தயாரித்திருந்தார்.","ippadathai sreedhar ezhudhi, iyakki, thayaarithirundhaar.",indha padaththai sridhar ezhudhi iyakki thayarichchirundhaar,indha padaththa sridhar ezhudhi iyakki thayarichchirundhaaru
A variety of information is collected.,பலவிதமான தகவல்கள் சேகரித்து வைக்கப்படுகிறது.,palavidhamaana thagavalgal chaegarithu vaikkappadugiradhu.,neriaye visayanga serththu vachchirukku,neriaye visayanga serththu vachchirukaanga
The war continued for almost 30 years.,போர் கிட்டத்தட்ட 30 ஆண்டுகளுக்கு தொடர்ந்தது.,por kittathatta 30 aandugalukku thodarndhadhu.,sandai erakkuraiye 30 varusam nadandhuchu,por kitta ththatta 30 varusam nadandhuchu
Ancient India excelled in science.,பண்டைய இந்தியாவானது அறிவியலில் சிறந்து விளங்கியது.,pandaiya indhiyaavaanadhu ariviyalil chirandhu vilangiyadhu.,adhikaalaththu inthiyavule ariviyalarivu sirappaa irunththuchi,andhkaala Indiale ariviyalum sirappa irunththuchi
Isis is known as the mother of Cleopatra.,கிளியோபாட்ராவின் தாயாக இஸிஸ் என்பர் அறியப்பெறுகிறார்.,kiliyobaatraavin thaayaaga isis enbar ariyapperugiraar.,kiliyopatra-voda amma isis,kiliyopatra-voda amma isis-nu soldranga
He has no one or a companion.,"அவனுக்கு நிகராகவோ, துணையாகவோ யாரும் இல்லை.","avanukku nigaraagavo, thunaiyaagavo yaarum illai.","avanukku samamaavo, inaiyaavo yaarum ille",avanukku equal-aa yaarum ille
It is the book that many reads.,அது மிகப் பலர் வாசிக்கும் நூலாகும்.,adhu migap palar vaasikkum noolaagum.,idhu neraiye peru padikkum puththagam,adhu neraiye peru padikkira book-u
Even Tamils ​​and Muslims live here.,"தமிழர்களும், முஸ்லிம்களும் கூட இங்கு வாழ்கின்றனர்.","thamizhargalum, muslimgalum kooda ingu vaazhgindranar.",tamizhargalum muslimgalum kooda inge vazhraanga,tamizhargalum muslimgalum kooda inge irukaanga
Production production has not yet improved.,மகிழுந்து உற்பத்தி இன்னமும் முன்னேற்றம் அடையவில்லை.,magizhundhu urpathi innamum munntram adaiyavillai.,car urpaththi innum munneralle,car production innum munneralle
Suradha's first book is kissing.,சுரதாவின் முதல் நூல் சாவின் முத்தம்.,churadhaavin mudhal nool chaavin mutham.,suradhavoda modhal novel saavin muththam,suradhavoda modhal novel saavin muththam
"Immediately, people surrounded him.","உடனே, மக்கள் அவரைச் சூழ்ந்து கொண்டனர்.","udanae, makkal avaraich choozhndhu kondanar.","odane, makkal avarai suththi ninaanga","odane, makkal avara suththi nittaanga"
Australia is the largest coal export.,அதிகளவு நிலக்கரி ஏற்றுமதியாளராக ஆஸ்திரேலியா திகழ்கிறது.,adhigalavu nilakkari aetrumadhiyaalaraaga aasdhiraeliyaa thigazhgiradhu.,australia adhigame nilakkari eetrumathi seyyudhu,australia dhan adhigame nilakkari eetrumathi pandraanga
The majority of the population are indigenous people.,மக்கள் தொகையில் பெரும்பான்மையினர் பழங்குடி மக்கள்.,makkal thogaiyil perumbaanmaiyinar pazhangudi makkal.,makkal thogaiyule adhigamanavanga aadhivaasinga,makkal thogaile adhiga aadhivaasinga irukkanga
His family relocated to Madurai at an early age.,சிறுவயதிலேயே அவரது குடும்பம் மதுரைக்கு இடம்பெயர்ந்தது.,chiruvayadhilaeyae avaradhu kudumbam madhuraikku idambeyarndhadhu.,sinnavayasule avanga kudumbam maduraikku poyiruchu,sinnavayasule avanga kudumbam maduraikku poyitanga
He also worked as a bank director there.,அங்கே ஒரு வங்கி இயக்குனராகவும் பணியாற்றினார்.,angae oru vangi iyakkunaraagavum paniyaatrinaar.,ange oru vangiyile meladhigariye velai senjaar,ange oru bankle velai senjaaru
He is permitted to sue any court in India.,இந்தியாவின் எந்தவொரு நீதிமன்றத்திலும் வழக்காட அனுமதியுடையவர்.,indhiyaavin endhavoru needhimandrathilum vazhakkaada anumadhiyudaiyavar.,india-voda endha court-liyum vaadhada anumathi irukkuravar,india-voda endha court-liyum vaadhada anumathi irukkuravaru
These watches can still be found today.,இவ்வகைக் கடிகாரங்களை இன்றும் ஆங்காங்கே காணலாம்.,ivvagaik kadigaarangalai indrum aangaangae kaanalaam.,indha maadhiri kadikaarangale innum angangange paarkkalaam,indha maadhiri clock-lam innum angangange paarkkalaam
His death is considered full of secret.,அவரது மரணம் இரகசியம் நிறைந்ததாக கருதப்படுகிறது.,avaradhu maranam iragasiyam niraindhadhaaga karudhappadugiradhu.,avaroda saavula ragasiyam irukku,avaroda yerappule neraiya ragasiyam irukku
He surpassed the record of Tarnton.,தார்ன்டன் செய்திருந்த சாதனையை அவர் விஞ்சினார்.,thaarndan cheydhirundha chaadhanaiyai avar vinjinaar.,tharndon senja saadhanaiye avaru minjittaar,Thornton panna saadhanaiye avaru minjittaaru
They often fail in preventing the recession.,மந்தநிலையைத் தடுப்பதில் அவை பெரும்பாலும் தோல்வியடைகின்றன.,mandhanilaiyaith thaduppadhil avai perumbaalum tholviyadaigindrana.,mandamana nilayai thadukkaradhule adhu ellame thokkudhu,mandamana nilayai thadukka adhu ellame thoththuduchu
"In this business, China's handmade is.",இந்த வணிகத்தில் சீனாவின் கைமேலோங்கி இருந்தது.,indha vanigathil cheenaavin kaimaelongi irundhadhu.,indha viyabarathule seenavoda kaithaan oongi irukku,indha viyabarathule china-voda kaithaan oongi irukku
I had to go to England to raise funds.,நிதி திரட்ட இங்கிலாந்துக்கு செல்ல வேண்டியிருந்தது.,nidhi thiratta ingilaandhukku chella vaendiyirundhadhu.,panam poratta england poga vendiirukkudhu,nidhi poratta england poga vendiyadhaachu
His death is spoken in many ways.,இவர் இறப்பு பற்றி பலவிதங்களில் பேசப்படுகிறது.,ivar irappu patri palavidhangalil paesappadugiradhu.,ivaru saavai paththi palavidhamaa pechchu irukku,ivaru saavu paththi palavidhamaa pechchu irukku
"As well as the principle of sovereignty, it is widespread.",அத்துடன் இறைமறுப்பு கொள்கையும் பரவலாகக் காணப்படுகிறது.,athudan iraimaruppu kolgaiyum paravalaagak kaanappadugiradhu.,adhode naaththigam adhigamaa irukkudhu,adhode naaththigam adhigamaa irukkudhu
It is the fourth language spoken in India.,இந்தியாவில் அதிகம் பேசப்படும் நான்காவது மொழியாகும்.,indhiyaavil adhigam paesappadum naangaavadhu mozhiyaagum.,india-vula adhigam pesura naalavadhu mozhi,indiale adhigama pesura naalavadhu mozhi
The ships carrying Abbines were also attacked.,அபின்கள் ஏற்றி வந்த கப்பல்களும் தாக்கப்பட்டன.,abingal aetri vandha kappalgalum thaakkappattana.,abin eththi vandha kappal ellam adichi norukkiyachu,abin eththi vandha kappal ellam adichi norukkitaanga
His first collection of tears.,இவரது முதற் கவிதைத்தொகுப்பு கண்ணீர்ப் பூக்கள்.,ivaradhu mudhar kavidhaithoguppu kanneerp pookkal.,avaroda mudhal kavithai puththagam kanneeropookkal,avaroda mudhal kavithai puththagam kanneeropookkal
The movement was said to have failed in later years.,பின்னாட்களில் இந்த இயக்கம் தோல்வியடைந்ததாகக் கூறப்பட்டது.,pinnaatkalil indha iyakkam tholviyadaindhadhaagak koorappattadhu.,pinnadi indha iyakkam thoolvi achu,pinnadi indha iyakkam thoththrucchu
Some of them are given below.,அவற்றில் சில கீழே கொடுக்கப் பட்டுள்ளன.,avatril chila keezhae kodukkap pattullana.,adule konjam keezhe irukku,adhue konjam keezhe irukku
It is customary to bury the dead people.,இறந்த மக்களைப் புதைப்பது இவர்கள் வழக்கம்.,irandha makkalaip pudhaippadhu ivargal vazhakkam.,seththu pona makkalai puthaikkaradhu ivanga vazhakkam,erandha makkala puthaikkaradhu ivanga vazhakkam
The name has been in the country for 180 years.,இப்பெயர் 180 ஆண்டுகளாக அந்நாட்டிற்கு நிலைத்திருந்தது.,ippeyar 180 aandugalaaga annaattirku nilaithirundhadhu.,indhaperu 180 varusamaa andha naattukku irundhuchi,indha peru 180 varusamaa andha naattle nelachu irundhuchi
The difference between the two is the user number.,இரண்டுக்கும் உள்ள வேறுபாடு பயனர் எண்ணிக்கையே.,irandukkum ulla vaerubaadu payanar ennikkaiyae.,rendukkum ulla viththiyaasam payanaalinga kanakke,rendukkum ulla difference payanaalinga kanakke
He has played two significant roles.,இரண்டு குறிப்பிடத்தகுந்த பாத்திரங்களை இவர் செய்துள்ளார்.,irandu kurippidathagundha paathirangalai ivar cheydhullaar.,rendu sollikolramaadhiri kathaapaathirangalile ivar nadichirukkaar,rendu sollikolra alavukku kathaapaathirangale ivaru senjaaru
This story is one of Jesus' famous parables.,இக்கதை இயேசுவின் பிரபல உவமைகளில் ஒன்றாகும்.,ikkadhai iyaesuvin pirabala uvamaigalil ondraagum.,indhakadhai yesuvoda pirabalamanathule onnu,indha kadhai yesu-oda famous-aana onnu
He also had to read the Marxian texts.,மார்க்சிய நூல்களையும் அவர் படிக்க நேர்ந்தது.,maarkchiya noolgalaiyum avar padikka naerndhadhu.,markchiya puthangankale avaru padikkara maadhiri achi,marktchiya puthangankalum avaru padikkura maadhiri achu
Element means organ.,அங்கம் என்பதற்கு உறுப்பு எனப் பொருள்.,angam enbadharku uruppu enap porul.,angam appadeena uruppu-nu arththam,angam appadeena uruppu-nu arththam
His son Ramanathan was born during that time.,அக்காலப்பகுதியில் அவரது மகன் இராமநாதன் பிறந்தார்.,akkaalappagudhiyil avaradhu magan iraamanaadhan pirandhaar.,andha nerathule avarakku magan ramanaathan poranthaar,andha nerathule avarakku magan ramanaathan poranthaaru
He also affected him by avoiding seizures.,வலிப்பு தவிர்த்து மூலமும் அவரை பாதித்தது.,valippu thavirthu moolamum avarai paadhithadhu.,valippu mattumillaame moolanoyum avare paathichchathu,valippu illaame moolamum avare baathichchathu
He has bought the Black Belt in Karate.,அவர் கராத்தேவில் பிளாக் பெல்ட் வாங்கியுள்ளார்.,avar karaathaevil pilaak pelt vaangiyullaar.,avaru karathevule karuppu belt vangiirukkaar,avaru karathele black belt vangiirukkaaruu
There are also separate lodges for women now.,இப்பொழுது பெண்களுக்கான தனி லாட்ஜுகளும் இருக்கின்றன.,ippozhudhu pengalukkaana thani laatjugalum irukkindrana.,ippoellam  ponnungalukku thaniye viduthi irukku,ippo ellam ponnungalukku thaniye hostel irukku
Cook was also the commander of the sea.,கடல் பயணத்தின்போது தளபதியாகவும் ஆக்கப்பட்டார் குக்.,kadal payanathinbodhu thalabadhiyaagavum aakkappattaar kuk.,kadal payanathule thalapathi aanaar cook,kadal payanathule thalapathi aanaaru cook
The first immigrants were from South India.,முதலாவது குடியேற்றவாசிகள் தென் இந்தியாவிலிருந்து வந்தவர்களாவார்.,mudhalaavadhu kudiyaetravaasigal then indhiyaavilirundhu vandhavargalaavaar.,modalle kudivandhavange thenindiayar,modalle kudivandhavange thenindiayar dhan
There is also a festival committee.,அதற்கென மணிவிழாக் குழு ஒன்றும் அமைத்துள்ளனர்.,adharkena manivizhaak kuzhu ondrum amaithullanar.,athukkunnu manivizhakkuzhu onnu vachirukkanga,athukkunnu manivizhaakkuzhu onnu vachirukkanga
The rest of the cost is responsible for the Tamil Nadu government.,மீதமான செலவை தமிழ்நாடு அரசு பொறுப்பேற்கும்.,meedhamaana chelavai thamizhnaadu arasu poruppaerkum.,micha selave thamizhnaadu arasu yethukkum,midhi selave thamizhnaadu goverment paaththukkum
North India is mostly cultivated in the hills.,வட இந்தியாவில் மலைப்பகுதிகளில் அதிகம் பயிர்செய்யப்படுகிறது.,vada indhiyaavil malaippagudhigalil adhigam payirseyyappadugiradhu.,vada indiavule malaippaguthuyile neraiye payir seyyaraanga,vada indiale malaippaguthiyile neraiye payir seyyaraanga
This is their first Samar.,இது அவர்களது முதலாவது சமர் ஆகும்.,idhu avargaladhu mudhalaavadhu chamar aagum.,idhu avangaloda modhal sandai,idhu avangaloda modhalaavadhu sandai
The elephant's eye has a little vision.,யானையின் கண் சற்று கிட்டப்பார்வை கொண்டது.,yaanaiyin kan chatru kittappaarvai kondadhu.,yanaiyoda kannukku kittappparvai,yanaiy-ku kannu koncham kittappaarvai
Murugan looks here with the Sangu wheel.,முருகன் இங்கு சங்கு சக்கரத்துடன் காட்சியளிக்கிறார்.,murugan ingu changu chakkarathudan kaatchiyalikkiraar.,murugapperumaan inge sangu sakkarathoda kaatchitharaar,murugan inge sangu sakkarathoda theriyuraaru
The nature of the material varies to each level.,பொருட்களின் தன்மை ஒவ்வொரு நிலைக்கும் மாறுபடும்.,porutkalin thanmai ovvoru nilaikkum maarubadum.,poruloda thanmai ovvoru nerathukkum veramadhiri irukkum,poruloda thanmai ovvoru time-um maarite irukkum
It was unexpectedly sticking to Jerry's head.,அது எதிர்பாராதவிதமாக ஜெர்ரியின் தலையில் ஒட்டிக்கொண்டது.,adhu edhirbaaraadhavidhamaaga jerriyin thalaiyil ottikkondadhu.,adhu ethipaaradhavidhamaa jerry-yoda thalaiyile ottikichi,adhu ethir paakadha vidhamaa jerry-yoda thalaile ottikichu
The information about the language is not known.,இம்மொழியை பற்றிய தகவல்கள் பெரிதாக தெரியாது.,immozhiyai patriya thagavalgal peridhaaga theriyaadhu.,indha mozhiyeppathi visayam ethuvum perusaa theriyadhu,indha mozhi yeppadinu ethuvum perusaa theriyadhu
Most mammals have four feet.,பெரும்பாலான பாலூட்டிகள் நான்கு கால்களைக் கொண்டவை.,perumbaalaana paaloottigal naangu kaalgalaik kondavai.,neraiye paalootingalukku naalu kaalu,neraiye paalootingalukku naalu kaalu
He served as the last chief governor of India.,இந்தியாவின் கடைசித் தலைமை ஆளுநராகப் பணியாற்றியவர்.,indhiyaavin kadaisith thalaimai aalunaraagap paniyaatriyavar.,indiavoda kadaisi aalunara vele senjavaar,india-oda kadaisi governor-aa velai senjavaaru
This is the name of his artistic life.,இப்பெயரே இவரது கலை வாழ்வில் நிலைத்தது.,ippeyarae ivaradhu kalai vaazhvil nilaithadhu.,indhapere avaroda kalai vazhkkaiyile ninnuchi,indha peru avaroda kalai vazhkkaiyile irundhuchi
Salil was clear in it.,சலீல் அதில் தெளிவாக இருந்தார்.,chaleel adhil thelivaaga irundhaar.,saleel adhulle  thelivaa irundhaar,saleel adhulle thelivaa irundhaaru
The way to the eyes will go.,கண்கள் செல்லும் வழி மனம் செல்லும்.,kangal chellum vazhi manam chellum.,kannu pora pakkam manasu povum,kannu pora pakkam manasu-um povum
"In the north of the country, the influence of the Osyans rose.",நாட்டின் வடக்கில் ஒய்சாளர்களின் செல்வாக்கு உயர்ந்தது.,naattin vadakkil oysaalargalin chelvaakku uyarndhadhu.,natoda vadakkupakkam oysaalarkaloda selvaakku adhigamaachu,nattoda vadakku pakkam oysaalarkaloda selvaakku adhigamaachu
Its old name is peacock.,இதன் பழைய பெயர் மயிலணி ஆகும்.,idhan pazhaiya peyar mayilani aagum.,idoda pazhaiye peru mayilani,idhoda pazhaiye peru mayilani
These feed on small animals.,இவை சிறு விலங்குகளை உணவாகக் கொள்கின்றன.,ivai chiru vilangugalai unavaagak kolgindrana.,idunga sinna vilangungalai saapidum,idhulam sinna vilangungalai saapidunga
This Dharma Chakra refers to Dharma.,இந்த தர்ம சக்கரம் தர்மத்தை குறிக்கிறது.,indha tharma chakkaram tharmathai kurikkiradhu.,indha dharamachakkaram dharmaththai unarththum,indha dharamachakkaram dharmaththai kurikum
Thus their marriage ended successfully.,இதனால் அவர்களது திருமணம் வெற்றிகரமாக முடிந்தது.,idhanaal avargaladhu thirumanam vetrigaramaaga mudindhadhu.,idhanale avange kalyaanam nallapadiyaa mudinjadhu,idhanale avange kalyaanam nallapadiyaa aachu
Kuberan is the guard of the north direction.,குபேரன் வடக்கு திசையின் காவலர் ஆவார்.,kubaeran vadakku thisaiyin kaavalar aavaar.,kuberan vadakkuthisaiyoda kavalkaaran,kuberan vadakku pakka kavalkaaran
Each temple connects the path to the steps.,ஒவ்வொரு கோயிலையும் படிகளாலான பாதை இணைக்கிறது.,ovvoru koyilaiyum padigalaalaana paadhai inaikkiradhu.,ovvoru koyilaiyum padikkattu vazhiye serkkudhu,ovvoru koyilaiyum padikkattu vazhiye irukku
